[2025-11-24 19:45:52.399] [INFO] 相机同步: Distance 被外部修改为 122.75
[2025-11-24 19:45:52.405] [INFO] 相机同步: Distance 被外部修改为 124.27
[2025-11-24 19:45:52.411] [INFO] 相机同步: Distance 被外部修改为 125.78
[2025-11-24 19:45:52.417] [INFO] 相机同步: Distance 被外部修改为 127.27
[2025-11-24 19:45:52.423] [INFO] 相机同步: Distance 被外部修改为 128.77
[2025-11-24 19:45:52.430] [INFO] 相机同步: Distance 被外部修改为 130.25
[2025-11-24 19:45:52.436] [INFO] 相机同步: Distance 被外部修改为 131.84
[2025-11-24 19:45:52.442] [INFO] 相机同步: Distance 被外部修改为 133.35
[2025-11-24 19:45:52.447] [INFO] 相机同步: Distance 被外部修改为 134.59
[2025-11-24 19:45:52.454] [INFO] 相机同步: Distance 被外部修改为 135.94
[2025-11-24 19:45:52.460] [INFO] 相机同步: Distance 被外部修改为 137.38
[2025-11-24 19:45:52.466] [INFO] 相机同步: Distance 被外部修改为 138.78
[2025-11-24 19:45:52.472] [INFO] 相机同步: Distance 被外部修改为 140.10
[2025-11-24 19:45:52.478] [INFO] 相机同步: Distance 被外部修改为 141.50
[2025-11-24 19:45:52.484] [INFO] 相机同步: Distance 被外部修改为 142.86
[2025-11-24 19:45:52.491] [INFO] 相机同步: Distance 被外部修改为 144.21
[2025-11-24 19:45:52.497] [INFO] 相机同步: Distance 被外部修改为 145.86
[2025-11-24 19:45:52.503] [INFO] 相机同步: Distance 被外部修改为 146.85
[2025-11-24 19:45:52.509] [INFO] 相机同步: Distance 被外部修改为 148.27
[2025-11-24 19:45:52.515] [INFO] 相机同步: Distance 被外部修改为 149.49
[2025-11-24 19:45:52.521] [INFO] 相机同步: Distance 被外部修改为 150.62
[2025-11-24 19:45:52.527] [INFO] 相机同步: Distance 被外部修改为 151.76
[2025-11-24 19:45:52.533] [INFO] 相机同步: Distance 被外部修改为 152.97
[2025-11-24 19:45:52.540] [INFO] 相机同步: Distance 被外部修改为 154.14
[2025-11-24 19:45:52.545] [INFO] 相机同步: Distance 被外部修改为 155.36
[2025-11-24 19:45:52.551] [INFO] 相机同步: Distance 被外部修改为 156.41
[2025-11-24 19:45:52.557] [INFO] 相机同步: Distance 被外部修改为 157.57
[2025-11-24 19:45:52.563] [INFO] 相机同步: Distance 被外部修改为 158.58
[2025-11-24 19:45:52.569] [INFO] 相机同步: Distance 被外部修改为 159.69
[2025-11-24 19:45:52.575] [INFO] 相机同步: Distance 被外部修改为 160.76
[2025-11-24 19:45:52.581] [INFO] 相机同步: Distance 被外部修改为 161.81
[2025-11-24 19:45:52.587] [INFO] 相机同步: Distance 被外部修改为 162.85
[2025-11-24 19:45:52.593] [INFO] 相机同步: Distance 被外部修改为 163.89
[2025-11-24 19:45:52.599] [INFO] 相机同步: Distance 被外部修改为 164.89
[2025-11-24 19:45:52.605] [INFO] 相机同步: Distance 被外部修改为 165.86
[2025-11-24 19:45:52.612] [INFO] 相机同步: Distance 被外部修改为 166.81
[2025-11-24 19:45:52.617] [INFO] 相机同步: Distance 被外部修改为 167.82
[2025-11-24 19:45:52.625] [INFO] 相机同步: Distance 被外部修改为 168.73
[2025-11-24 19:45:52.630] [INFO] 相机同步: Distance 被外部修改为 169.82
[2025-11-24 19:45:52.635] [INFO] 相机同步: Distance 被外部修改为 170.58
[2025-11-24 19:45:52.641] [INFO] 相机同步: Distance 被外部修改为 171.49
[2025-11-24 19:45:52.648] [INFO] 相机同步: Distance 被外部修改为 172.33
[2025-11-24 19:45:52.654] [INFO] 相机同步: Distance 被外部修改为 173.22
[2025-11-24 19:45:52.660] [INFO] 相机同步: Distance 被外部修改为 174.08
[2025-11-24 19:45:52.666] [INFO] 相机同步: Distance 被外部修改为 174.92
[2025-11-24 19:45:52.672] [INFO] 相机同步: Distance 被外部修改为 175.78
[2025-11-24 19:45:52.680] [INFO] 鼠标按下: Button=Left, Target=<0, 0, 0>, Yaw=-100.3°, Pitch=82.2°, Distance=175.78
[2025-11-24 19:45:52.705] [INFO] 相机同步: Distance 被外部修改为 176.93
[2025-11-24 19:45:52.714] [INFO] 相机同步: Distance 被外部修改为 180.26
[2025-11-24 19:45:52.718] [INFO] 相机同步: Distance 被外部修改为 181.20
[2025-11-24 19:45:53.250] [INFO] 相机同步: Distance 被外部修改为 181.42
[2025-11-24 19:45:53.823] [INFO] 鼠标释放: Button=Left, Target=<0, 0, 0>, Distance=181.42, CameraPos=145.03292846679688,-87.95565032958984,64.37071990966797
[2025-11-24 19:45:53.879] [INFO] 相机同步: Distance 被外部修改为 181.53
[2025-11-24 19:45:53.945] [INFO] 相机同步: Distance 被外部修改为 181.63
[2025-11-24 19:45:54.030] [INFO] 相机同步: Distance 被外部修改为 181.74
[2025-11-24 19:45:54.151] [INFO] 相机同步: Distance 被外部修改为 181.84
[2025-11-24 19:45:54.264] [INFO] 鼠标按下: Button=Left, Target=<0, 0, 0>, Yaw=-156.1°, Pitch=29.0°, Distance=181.84
[2025-11-24 19:45:55.128] [INFO] 鼠标释放: Button=Left, Target=<0, 0, 0>, Distance=181.84, CameraPos=88.36969757080078,-74.92448425292969,140.14781188964844
[2025-11-24 19:45:55.445] [INFO] 相机同步: Distance 被外部修改为 184.41
[2025-11-24 19:45:55.450] [INFO] 相机同步: Distance 被外部修改为 188.65
[2025-11-24 19:45:55.460] [INFO] 相机同步: Distance 被外部修改为 189.98
[2025-11-24 19:45:55.465] [INFO] 相机同步: Distance 被外部修改为 192.86
[2025-11-24 19:45:55.477] [INFO] 相机同步: Distance 被外部修改为 194.21
[2025-11-24 19:45:55.483] [INFO] 相机同步: Distance 被外部修改为 199.95
[2025-11-24 19:45:55.490] [INFO] 相机同步: Distance 被外部修改为 202.82
[2025-11-24 19:45:55.502] [INFO] 相机同步: Distance 被外部修改为 205.59
[2025-11-24 19:45:55.508] [INFO] 相机同步: Distance 被外部修改为 213.36
[2025-11-24 19:45:55.514] [INFO] 相机同步: Distance 被外部修改为 217.57
[2025-11-24 19:45:55.526] [INFO] 相机同步: Distance 被外部修改为 221.42
[2025-11-24 19:45:55.532] [INFO] 相机同步: Distance 被外部修改为 228.81
[2025-11-24 19:45:55.538] [INFO] 相机同步: Distance 被外部修改为 232.85
[2025-11-24 19:45:55.544] [INFO] 相机同步: Distance 被外部修改为 236.16
[2025-11-24 19:45:55.550] [INFO] 相机同步: Distance 被外部修改为 241.73
[2025-11-24 19:45:55.556] [INFO] 相机同步: Distance 被外部修改为 246.49
[2025-11-24 19:45:55.562] [INFO] 相机同步: Distance 被外部修改为 251.61
[2025-11-24 19:45:55.568] [INFO] 相机同步: Distance 被外部修改为 256.10
[2025-11-24 19:45:55.576] [INFO] 相机同步: Distance 被外部修改为 261.36
[2025-11-24 19:45:55.587] [INFO] 相机同步: Distance 被外部修改为 267.69
[2025-11-24 19:45:55.593] [INFO] 相机同步: Distance 被外部修改为 276.71
[2025-11-24 19:45:55.599] [INFO] 相机同步: Distance 被外部修改为 281.35
[2025-11-24 19:45:55.605] [INFO] 相机同步: Distance 被外部修改为 285.99
[2025-11-24 19:45:55.611] [INFO] 相机同步: Distance 被外部修改为 290.79
[2025-11-24 19:45:55.617] [INFO] 相机同步: Distance 被外部修改为 295.81
[2025-11-24 19:45:55.623] [INFO] 相机同步: Distance 被外部修改为 300.56
[2025-11-24 19:45:55.630] [INFO] 相机同步: Distance 被外部修改为 305.31
[2025-11-24 19:45:55.635] [INFO] 相机同步: Distance 被外部修改为 310.54
[2025-11-24 19:45:55.641] [INFO] 相机同步: Distance 被外部修改为 314.94
[2025-11-24 19:45:55.647] [INFO] 相机同步: Distance 被外部修改为 319.75
[2025-11-24 19:45:55.653] [INFO] 相机同步: Distance 被外部修改为 324.09
[2025-11-24 19:45:55.659] [INFO] 相机同步: Distance 被外部修改为 328.53
[2025-11-24 19:45:55.665] [INFO] 相机同步: Distance 被外部修改为 333.22
[2025-11-24 19:45:55.671] [INFO] 相机同步: Distance 被外部修改为 337.65
[2025-11-24 19:45:55.677] [INFO] 相机同步: Distance 被外部修改为 342.27
[2025-11-24 19:45:55.684] [INFO] 相机同步: Distance 被外部修改为 346.70
[2025-11-24 19:45:55.690] [INFO] 相机同步: Distance 被外部修改为 351.32
[2025-11-24 19:45:55.696] [INFO] 相机同步: Distance 被外部修改为 355.57
[2025-11-24 19:45:55.702] [INFO] 相机同步: Distance 被外部修改为 360.10
[2025-11-24 19:45:55.708] [INFO] 相机同步: Distance 被外部修改为 364.19
[2025-11-24 19:45:55.714] [INFO] 相机同步: Distance 被外部修改为 368.40
[2025-11-24 19:45:55.720] [INFO] 相机同步: Distance 被外部修改为 372.76
[2025-11-24 19:45:55.726] [INFO] 相机同步: Distance 被外部修改为 376.77
[2025-11-24 19:45:55.732] [INFO] 相机同步: Distance 被外部修改为 380.77
[2025-11-24 19:45:55.738] [INFO] 相机同步: Distance 被外部修改为 385.04
[2025-11-24 19:45:55.744] [INFO] 相机同步: Distance 被外部修改为 389.05
[2025-11-24 19:45:55.750] [INFO] 相机同步: Distance 被外部修改为 393.26
[2025-11-24 19:45:55.756] [INFO] 相机同步: Distance 被外部修改为 397.07
[2025-11-24 19:45:55.762] [INFO] 相机同步: Distance 被外部修改为 400.95
[2025-11-24 19:45:55.768] [INFO] 相机同步: Distance 被外部修改为 404.71
[2025-11-24 19:45:55.774] [INFO] 相机同步: Distance 被外部修改为 408.43
[2025-11-24 19:45:55.781] [INFO] 相机同步: Distance 被外部修改为 412.14
[2025-11-24 19:45:55.786] [INFO] 相机同步: Distance 被外部修改为 413.68
[2025-11-24 19:45:55.793] [INFO] 相机同步: Distance 被外部修改为 415.07
[2025-11-24 19:45:55.799] [INFO] 相机同步: Distance 被外部修改为 416.53
[2025-11-24 19:45:55.805] [INFO] 相机同步: Distance 被外部修改为 415.65
[2025-11-24 19:45:55.811] [INFO] 相机同步: Distance 被外部修改为 414.87
[2025-11-24 19:45:55.817] [INFO] 相机同步: Distance 被外部修改为 411.96
[2025-11-24 19:45:55.823] [INFO] 相机同步: Distance 被外部修改为 409.14
[2025-11-24 19:45:55.829] [INFO] 相机同步: Distance 被外部修改为 406.36
[2025-11-24 19:45:55.835] [INFO] 相机同步: Distance 被外部修改为 403.51
